"GEOID","NAME","total_workers","total_workers_moe_90","avg_commute_minutes","avg_commute_se","avg_commute_moe_90","avg_commute_rse","reliability"
"261635301001","Block Group 1; Census Tract 5301; Wayne County; Michigan",107,104,95,79.731562414005,131.158420171038,0.839279604357947,"Low reliability"
"261635035003","Block Group 3; Census Tract 5035; Wayne County; Michigan",19,33,75,121.351439447648,199.62311789138,1.6180191926353,"Low reliability"
"261635223002","Block Group 2; Census Tract 5223; Wayne County; Michigan",59,55,73.3728813559322,62.7867385460507,103.284184908253,0.85572131536544,"Low reliability"
"260873320001","Block Group 1; Census Tract 3320; Lapeer County; Michigan",340,193,62.2661764705882,29.5359340533218,48.5866115177143,0.474349570304405,"Low reliability"
"261570012002","Block Group 2; Census Tract 12; Tuscola County; Michigan",228,106,59.6337719298246,25.2244965872234,41.4942968859825,0.422990124067734,"Low reliability"
"261476572004","Block Group 4; Census Tract 6572; St. Clair County; Michigan",407,130,58.460687960688,17.231314403419,28.3455121936242,0.294750455468574,"Moderate reliability"
"261635386002","Block Group 2; Census Tract 5386; Wayne County; Michigan",361,227,56.6592797783934,31.4076402691959,51.6655682428273,0.554324735366174,"Low reliability"
"260937250001","Block Group 1; Census Tract 7250; Livingston County; Michigan",324,167,56.212962962963,26.4993358423146,43.5914074606075,0.471409697079555,"Low reliability"
"260490112142","Block Group 2; Census Tract 112.14; Genesee County; Michigan",300,193,56.12,34.2018862854019,56.2621029394861,0.609442022191766,"Low reliability"
"260979505003","Block Group 3; Census Tract 9505; Mackinac County; Michigan",449,134,56.0913140311804,15.0336986672596,24.730434307642,0.268021866253705,"Moderate reliability"
"260937240021","Block Group 1; Census Tract 7240.02; Livingston County; Michigan",39,35,55.8589743589744,53.8256887763024,88.5432580370174,0.963599661361392,"Low reliability"
"261635011004","Block Group 4; Census Tract 5011; Wayne County; Michigan",134,117,55.3880597014925,45.910096477699,75.5221087058149,0.828880750203674,"Low reliability"
"260750063052","Block Group 2; Census Tract 63.05; Jackson County; Michigan",480,201,55.121875,24.9699585085019,41.0755817464855,0.45299544887582,"Low reliability"
"261450011002","Block Group 2; Census Tract 11; Saginaw County; Michigan",49,58,54.8469387755102,56.3801382763489,92.7453274645939,1.02795414903855,"Low reliability"
"260490113011","Block Group 1; Census Tract 113.01; Genesee County; Michigan",146,106,54.722602739726,39.9373078096116,65.6968713468111,0.729813748069754,"Low reliability"
"260350010002","Block Group 2; Census Tract 10; Clare County; Michigan",196,132,54.3035714285714,42.0547938367573,69.1801358614658,0.774438821064916,"Low reliability"
"261635452003","Block Group 3; Census Tract 5452; Wayne County; Michigan",81,60,53.3333333333333,41.6269263537402,68.4762938519026,0.780504869132629,"Low reliability"
"261251250002","Block Group 2; Census Tract 1250; Oakland County; Michigan",617,404,52.6588330632091,35.402108976169,58.236469265798,0.672291938822002,"Low reliability"
"261476430001","Block Group 1; Census Tract 6430; St. Clair County; Michigan",14,20,52.5,94.0005276963508,154.630868060497,1.79048624183525,"Low reliability"
"261476240002","Block Group 2; Census Tract 6240; St. Clair County; Michigan",16,18,52.5,78.4880130814342,129.112781518959,1.4950097729797,"Low reliability"
"260650053034","Block Group 4; Census Tract 53.03; Ingham County; Michigan",108,177,51.9074074074074,84.332746656138,138.727368249347,1.624676532084,"Low reliability"
"260490109101","Block Group 1; Census Tract 109.10; Genesee County; Michigan",162,108,51.8765432098765,35.3876202816084,58.2126353632459,0.682150700335622,"Low reliability"
"261179709001","Block Group 1; Census Tract 9709; Montcalm County; Michigan",396,125,51.8017676767677,16.8229639084727,27.6737756294376,0.324756560691992,"Low reliability"
"261476480002","Block Group 2; Census Tract 6480; St. Clair County; Michigan",229,96,51.7772925764192,19.0968409543837,31.4143033699612,0.368826564776408,"Low reliability"
"260750068032","Block Group 2; Census Tract 68.03; Jackson County; Michigan",157,80,51.7197452229299,25.0078649951077,41.1379379169522,0.483526453723142,"Low reliability"
"261251313001","Block Group 1; Census Tract 1313; Oakland County; Michigan",456,176,51.4627192982456,16.6846711330645,27.4462840138911,0.324208890641215,"Low reliability"
"261635137001","Block Group 1; Census Tract 5137; Wayne County; Michigan",98,72,51.2857142857143,34.6939008445395,57.0714668892675,0.676482746272358,"Low reliability"
"261635414001","Block Group 1; Census Tract 5414; Wayne County; Michigan",92,62,51.1630434782609,35.7246370431486,58.7670279359794,0.698250819623894,"Low reliability"
"260490112091","Block Group 1; Census Tract 112.09; Genesee County; Michigan",696,381,51.0337643678161,25.8209750007897,42.4755038762991,0.505958659343449,"Low reliability"
"261635668002","Block Group 2; Census Tract 5668; Wayne County; Michigan",361,264,50.9681440443213,36.3724385804356,59.8326614648166,0.713630822986346,"Low reliability"
"261614074005","Block Group 5; Census Tract 4074; Washtenaw County; Michigan",130,105,50.8192307692308,38.5229765374281,63.3702964040692,0.758039347591865,"Low reliability"
"261476460001","Block Group 1; Census Tract 6460; St. Clair County; Michigan",220,121,50.7113636363636,26.5806307601227,43.7251376004018,0.524155314590327,"Low reliability"
"260490016002","Block Group 2; Census Tract 16; Genesee County; Michigan",166,165,50.6566265060241,42.4577788874473,69.8430462698508,0.838148566454543,"Low reliability"
"261635433002","Block Group 2; Census Tract 5433; Wayne County; Michigan",163,107,50.398773006135,34.0948991633246,56.086109123669,0.676502564044055,"Low reliability"
"260490119012","Block Group 2; Census Tract 119.01; Genesee County; Michigan",233,107,50.3905579399142,20.1635045018854,33.1689649056015,0.400144497822954,"Low reliability"
"260992453005","Block Group 5; Census Tract 2453; Macomb County; Michigan",485,303,50.1505154639175,28.2274591090768,46.4341702344314,0.562854815109249,"Low reliability"
"260750065001","Block Group 1; Census Tract 65; Jackson County; Michigan",274,136,49.978102189781,24.8971039055027,40.9557359245519,0.498160250482528,"Low reliability"
"260370102031","Block Group 1; Census Tract 102.03; Clinton County; Michigan",172,108,49.8808139534884,34.275789510872,56.3836737453844,0.687153773048543,"Low reliability"
"261635040002","Block Group 2; Census Tract 5040; Wayne County; Michigan",163,86,49.5368098159509,26.4829135559245,43.5643927994959,0.534610800621178,"Low reliability"
"260859611002","Block Group 2; Census Tract 9611; Lake County; Michigan",339,175,49.4129793510324,25.1414640859069,41.3577084213168,0.50880283715136,"Low reliability"
"260873325003","Block Group 3; Census Tract 3325; Lapeer County; Michigan",251,105,49.3466135458167,17.8694892920384,29.3953098854032,0.362121896681871,"Low reliability"
"261476581002","Block Group 2; Census Tract 6581; St. Clair County; Michigan",423,114,49.2801418439716,12.1947488201696,20.060361809179,0.247457664768499,"Moderate reliability"
"260937211002","Block Group 2; Census Tract 7211; Livingston County; Michigan",648,159,49.1728395061728,11.3570921002391,18.6824165048933,0.230962706532604,"Moderate reliability"
"261635390002","Block Group 2; Census Tract 5390; Wayne County; Michigan",200,165,49.16,35.4718243863018,58.3511511154664,0.721558673439825,"Low reliability"
