"GEOID","NAME","total_workers","total_workers_moe_90","avg_commute_minutes","avg_commute_se","avg_commute_moe_90","avg_commute_rse","reliability"
"26163522300","Census Tract 5223; Wayne County; Michigan",113,58,51.8318584070796,29.856413810422,49.1138007181441,0.576024374351662,"Low reliability"
"26125125000","Census Tract 1250; Oakland County; Michigan",1538,358,47.4674902470741,13.6756433367564,22.4964332889642,0.288105464720653,"Moderate reliability"
"26117970900","Census Tract 9709; Montcalm County; Michigan",1239,165,46.2481840193705,7.12073384285041,11.7136071714889,0.153967858281051,"Moderate reliability"
"26075006305","Census Tract 63.05; Jackson County; Michigan",1045,166,45.0387559808612,10.9129679109478,17.9518322135092,0.24230171711637,"Moderate reliability"
"26147658100","Census Tract 6581; St. Clair County; Michigan",1336,162,44.751497005988,6.63560705060587,10.9155735982467,0.148276761550971,"Moderate reliability"
"26087333000","Census Tract 3330; Lapeer County; Michigan",1270,198,44.4740157480315,7.83881773330575,12.894855171288,0.176256126222483,"Moderate reliability"
"26147648000","Census Tract 6480; St. Clair County; Michigan",523,134,44.2801147227533,10.4734253230258,17.2287846563774,0.236526607679361,"Moderate reliability"
"26099230502","Census Tract 2305.02; Macomb County; Michigan",77,70,43.5194805194805,36.3669664978113,59.8236598888995,0.835647991743202,"Low reliability"
"26163504000","Census Tract 5040; Wayne County; Michigan",300,169,43.4766666666667,23.737048522147,39.0474448189319,0.545972134987665,"Low reliability"
"26087342000","Census Tract 3420; Lapeer County; Michigan",1831,176,42.997269251775,5.45896728093749,8.98000117714217,0.126960790206744,"Moderate reliability"
"26087332000","Census Tract 3320; Lapeer County; Michigan",2565,249,42.9666666666667,5.99041002417187,9.85422448976273,0.139419938498957,"Moderate reliability"
"26163513700","Census Tract 5137; Wayne County; Michigan",706,325,42.8866855524079,17.6407356030624,29.0190100670376,0.411333619649978,"Low reliability"
"26163543900","Census Tract 5439; Wayne County; Michigan",226,140,42.7654867256637,23.9433393566562,39.3867932416995,0.559875291733503,"Low reliability"
